Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare
2024,2,32211,34653,"Las Vegas, NV","Tulsa, OK",1076,314,227.65
2024,2,32244,31454,"New Haven, CT","Orlando, FL",1005,431,127.38
2024,2,32244,33195,"New Haven, CT","Tampa, FL (Metropolitan Area)",1067,263,116.44
2024,2,32337,30466,"Indianapolis, IN","Phoenix, AZ",1488,826,297.28
2024,2,32337,30559,"Indianapolis, IN","Seattle, WA",1866,512,299.24
2024,2,32211,33342,"Las Vegas, NV","Milwaukee, WI",1524,827,211.3
2024,2,32337,31454,"Indianapolis, IN","Orlando, FL",829,1539,173.05
2024,2,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",503,475,268.89
2024,2,32337,31703,"Indianapolis, IN","New York City, NY (Metropolitan Area)",701,1762,210.64
2024,2,32337,32211,"Indianapolis, IN","Las Vegas, NV",1590,976,223.85
2024,2,32337,32457,"Indianapolis, IN","San Francisco, CA (Metropolitan Area)",1943,616,315.67
2024,2,32337,32467,"Indianapolis, IN","Miami, FL (Metropolitan Area)",1020,1040,196.67
2024,2,32337,32575,"Indianapolis, IN","Los Angeles, CA (Metropolitan Area)",1814,954,341.1
2024,2,32211,34524,"Las Vegas, NV","Richmond, VA",2086,391,237.03
2024,2,31714,32211,"Fort Myers, FL","Las Vegas, NV",2070,250,284.66
2024,2,31714,32337,"Fort Myers, FL","Indianapolis, IN",945,511,207.35
2024,2,31714,33342,"Fort Myers, FL","Milwaukee, WI",1183,263,247.53
2024,2,31714,34100,"Fort Myers, FL","Philadelphia, PA",993,664,220.68
2024,2,31834,31703,"Fayetteville, AR","New York City, NY (Metropolitan Area)",1159,314,312.35
2024,2,31834,32575,"Fayetteville, AR","Los Angeles, CA (Metropolitan Area)",1371,299,305.16
2024,2,31871,30852,"Greenville/Spartanburg, SC","Washington, DC (Metropolitan Area)",426,369,225.68
2024,2,31703,35096,"New York City, NY (Metropolitan Area)","Syracuse, NY",222,412,162.42
2024,2,31986,30466,"Grand Rapids, MI","Phoenix, AZ",1574,334,257.56
2024,2,31986,30852,"Grand Rapids, MI","Washington, DC (Metropolitan Area)",528,299,242.96
2024,2,31986,31454,"Grand Rapids, MI","Orlando, FL",1024,382,190.48
2024,2,31986,31650,"Grand Rapids, MI","Minneapolis/St. Paul, MN",408,257,277.57
2024,2,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",656,506,222.53
